2025-10-28 08:55:26 | rtsab.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:27 | i-butterfly.ru | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 188.82 ms | Cache MISS
2025-10-28 08:55:27 | i-butterfly.ru | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:27 | i-butterfly.ru | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.72 ms | Cache MISS
2025-10-28 08:55:27 | i-butterfly.ru | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:27 | i-butterfly.ru | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.22 ms | Cache MISS
2025-10-28 08:55:27 | i-butterfly.ru | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:28 | datepanchang.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 201.21 ms | Cache MISS
2025-10-28 08:55:28 | datepanchang.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:28 | datepanchang.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 301.33 ms | Cache MISS
2025-10-28 08:55:28 | datepanchang.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:28 | datepanchang.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 145.68 ms | Cache MISS
2025-10-28 08:55:28 | datepanchang.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:28 | daehepharma.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 184.17 ms | Cache MISS
2025-10-28 08:55:28 | daehepharma.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:28 | daehepharma.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 302.79 ms | Cache MISS
2025-10-28 08:55:28 | daehepharma.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:28 | daehepharma.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.97 ms | Cache MISS
2025-10-28 08:55:28 | daehepharma.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:29 | ex-jw.org | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.18 ms | Cache MISS
2025-10-28 08:55:29 | ex-jw.org | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:29 | ex-jw.org | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 304.83 ms | Cache MISS
2025-10-28 08:55:29 | ex-jw.org | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:29 | ex-jw.org | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 118.22 ms | Cache MISS
