2025-10-28 09:30:55 | muhammedmusa.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 304.07 ms | Cache MISS
2025-10-28 09:30:55 | muhammedmusa.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:55 | muhammedmusa.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 126.23 ms | Cache MISS
2025-10-28 09:30:55 | muhammedmusa.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:55 | freepornvideosx.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 192.88 ms | Cache MISS
2025-10-28 09:30:55 | freepornvideosx.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:55 | freepornvideosx.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 302.75 ms | Cache MISS
2025-10-28 09:30:55 | freepornvideosx.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:55 | freepornvideosx.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 144.17 ms | Cache MISS
2025-10-28 09:30:55 | freepornvideosx.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:56 | 120shenbing.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 182.87 ms | Cache MISS
2025-10-28 09:30:56 | 120shenbing.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:56 | 120shenbing.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.54 ms | Cache MISS
2025-10-28 09:30:56 | 120shenbing.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
