2025-10-28 09:33:49 | bigliettieventi.info | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 272.60 ms | Cache MISS
2025-10-28 09:33:49 | bigliettieventi.info | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:49 | bigliettieventi.info | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.77 ms | Cache MISS
2025-10-28 09:33:49 | bigliettieventi.info | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:49 | bigliettieventi.info | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 135.76 ms | Cache MISS
2025-10-28 09:33:49 | bigliettieventi.info | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:50 | asseenontvlaunchpad.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 200.71 ms | Cache MISS
2025-10-28 09:33:50 | asseenontvlaunchpad.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:50 | asseenontvlaunchpad.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 296.49 ms | Cache MISS
2025-10-28 09:33:50 | asseenontvlaunchpad.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:50 | asseenontvlaunchpad.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.98 ms | Cache MISS
2025-10-28 09:33:50 | asseenontvlaunchpad.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:50 | ftf.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 183.88 ms | Cache MISS
2025-10-28 09:33:50 | ftf.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:50 | ftf.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 301.83 ms | Cache MISS
2025-10-28 09:33:50 | ftf.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:50 | ftf.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.35 ms | Cache MISS
2025-10-28 09:33:50 | ftf.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:51 | polymth.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 182.30 ms | Cache MISS
2025-10-28 09:33:51 | polymth.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:51 | polymth.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 295.03 ms | Cache MISS
2025-10-28 09:33:51 | polymth.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:51 | polymth.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 119.92 ms | Cache MISS
2025-10-28 09:33:51 | polymth.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:52 | crsgfk.de | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.88 ms | Cache MISS
2025-10-28 09:33:52 | crsgfk.de | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:52 | crsgfk.de | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.17 ms | Cache MISS
2025-10-28 09:33:52 | crsgfk.de | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:52 | crsgfk.de | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 156.69 ms | Cache MISS
2025-10-28 09:33:52 | crsgfk.de | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:53 | urbannetwork.co.uk | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 192.47 ms | Cache MISS
2025-10-28 09:33:53 | urbannetwork.co.uk | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:53 | urbannetwork.co.uk | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.89 ms | Cache MISS
